Job Name,Company Name,Company Location,Job Description,Job Link
Data Science Specialist,Professional Recruitment,"Riyadh, Saudi Arabia",Not specified ∑ Administration ∑ IT/Software Development ∑ Analyst/Research ∑ Data Entry ∑ Administration ∑ Microsoft Office ∑ Admin ∑ Computer Skills ∑ Typing ∑ Customer Service,https://wuzzuf.net/jobs/p/LY8dm9Doan2k-Data-Science-Specialist-Professional-Recruitment-Riyadh-Saudi-Arabia
Data Science Instructor,EpsilonAI,"Nasr City, Cairo, Egypt",Experienced ∑ 1+ Yrs of Exp ∑ IT/Software Development ∑ Engineering - Telecom/Technology ∑ Training/Instructor ∑ Data Science ∑ Computer Science ∑ Computer Engineering ∑ Python ∑ Machine Learning ∑ Deep Learning ∑ Artificial Intelligence (AI),https://wuzzuf.net/jobs/p/14BEtt96p9wi-Data-Science-Instructor-EpsilonAI-Cairo-Egypt
Medical Science Liaison - Kuwait,"Amgen Foundation, Inc.","Dubai, United Arab Emirates",Not specified ∑ R&D/Science ∑ Medical/Healthcare ∑ Pharmaceutical ∑ Pharmacy ∑ Science ∑ Medical ∑ Administration ∑ Data Entry ∑ Data Processor ∑ Health Care,https://wuzzuf.net/jobs/p/jvXX0Rm7GVSn-Medical-Science-Liaison---Kuwait-Amgen-Foundation-Inc-Dubai-United-Arab-Emirates
Medical Science Liaison - Kuwait,Amgen,"Dubai, United Arab Emirates",Not specified ∑ R&D/Science ∑ Medical/Healthcare ∑ Pharmaceutical ∑ Pharmacy ∑ Science ∑ Medical ∑ Administration ∑ Data Entry ∑ Data Processor ∑ Health Care,https://wuzzuf.net/jobs/p/LcgHRAgiGoer-Medical-Science-Liaison---Kuwait-Amgen-Dubai-United-Arab-Emirates
Medical Science Liaison - Kuwait,Amgen Inc,"Dubai, United Arab Emirates",Not specified ∑ R&D/Science ∑ Medical/Healthcare ∑ Pharmaceutical ∑ Pharmacy ∑ Science ∑ Medical ∑ Administration ∑ Data Entry ∑ Data Processor ∑ Health Care,https://wuzzuf.net/jobs/p/gSq1gIrwnxpt-Medical-Science-Liaison---Kuwait-Amgen-Inc-Dubai-United-Arab-Emirates
Senior Data Analyst,Professional Recruitment,"Riyadh, Saudi Arabia",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Information Technology (IT) ∑ Computer Science ∑ Analysis ∑ Data Analysis ∑ Business Analysis ∑ Microsoft Office ∑ SQL,https://wuzzuf.net/jobs/p/2jVDpI77qK0c-Senior-Data-Analyst-Professional-Recruitment-Riyadh-Saudi-Arabia
HR Data Analyst,Q-Express Documents Transport - G25,"Dubai, United Arab Emirates",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Data Analysis ∑ Analysis ∑ Computer Science ∑ Information Technology (IT) ∑ Microsoft Office ∑ SQL ∑ Microsoft Excel,https://wuzzuf.net/jobs/p/1YH9Nxb4n9oU-HR-Data-Analyst-Q-Express-Documents-Transport---G25-Dubai-United-Arab-Emirates
Master Data Supervisor,Confidential,"Mohandessin, Giza, Egypt",Experienced ∑ 6 - 8 Yrs of Exp ∑ Sales/Retail ∑ Computer Science ∑ Data Management ∑ Master Data ∑ Master Data Management ∑ Computer Engineering ∑ Data ∑ Management ∑ Information Technology (IT),https://wuzzuf.net/jobs/p/Uh9FQhFLzuQj-Master-Data-Supervisor-Giza-Egypt
Data Analytics Manager (Russian Speakers only),MIRA- Search,"Dubai, United Arab Emirates",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Information Technology (IT) ∑ Computer Science ∑ SQL ∑ Analysis ∑ Data Analysis ∑ Project Management ∑ Engineering,https://wuzzuf.net/jobs/p/9EiaEJSLGGNd-Data-Analytics-Manager-Russian-Speakers-only-MIRA--Search-Dubai-United-Arab-Emirates
Data Analyst,AECOM,"Riyadh, Saudi Arabia",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Data Analysis ∑ Analysis ∑ Computer Science ∑ Information Technology (IT) ∑ SQL ∑ Microsoft Office ∑ Microsoft Excel,https://wuzzuf.net/jobs/p/In9BFIMdoJwh-Data-Analyst-AECOM-Riyadh-Saudi-Arabia
Data Engineer,AECOM,"Riyadh, Saudi Arabia",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Information Technology (IT) ∑ Computer Science ∑ Computer Engineering ∑ Engineering ∑ Software Engineering ∑ Software Development ∑ SQL,https://wuzzuf.net/jobs/p/yI9VhuLTZqQ7-Data-Engineer-AECOM-Riyadh-Saudi-Arabia
Enterprise Data Warehouse Architect,Sscegypt,"Cairo, Egypt",Not specified ∑ IT/Software Development ∑ Engineering - Telecom/Technology ∑ Engineering - Mechanical/Electrical ∑ information technology (it) ∑ computer science ∑ computer engineering ∑ software engineering ∑ engineering ∑ sql ∑ oracle,https://wuzzuf.net/jobs/p/GPFXhTU4eujl-Enterprise-Data-Warehouse-Architect-Sscegypt-Cairo-Egypt
Junior Data Analyst,Prometeon Tyres Group ñ Egypt  (Ex-Pirelli Tyres Egypt),"Alexandria, Egypt",Entry Level ∑ 0 - 1 Yrs of Exp ∑ IT/Software Development ∑ Analysis ∑ analytical ∑ Computer Science ∑ Data Analysis ∑ Information Technology (IT),https://wuzzuf.net/jobs/p/yVfxNcTzpXH0-Junior-Data-Analyst-Prometeon-Tyres-Group-ñ-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt
ENTERPRISE DATA WAREHOUSE ARCHITECT,Commercial International Group,"Cairo, Egypt",Not specified ∑ IT/Software Development ∑ Engineering - Telecom/Technology ∑ Engineering - Mechanical/Electrical ∑ information technology (it) ∑ computer science ∑ computer engineering ∑ software engineering ∑ engineering ∑ sql ∑ oracle,https://wuzzuf.net/jobs/p/JrH27EWqVsky-ENTERPRISE-DATA-WAREHOUSE-ARCHITECT-Commercial-International-Group-Cairo-Egypt
Data Center Facility Engineer (Electrical/Mechanical),Amazon Data Serv Emirates LLC,"Abu Dhabi, United Arab Emirates",Not specified ∑ IT/Software Development ∑ Sales/Retail ∑ Engineering - Telecom/Technology ∑ Information Technology (IT) ∑ Computer Science ∑ Engineering ∑ EMC ∑ Cisco ∑ Data Center ∑ IBM,https://wuzzuf.net/jobs/p/jF1Gd9XgSkhO-Data-Center-Facility-Engineer-ElectricalMechanical-Amazon-Data-Serv-Emirates-LLC-Abu-Dhabi-United-Arab-Emirates
Enterprise Data Warehouse Architect,SSC,"Cairo, Egypt",Not specified ∑ IT/Software Development ∑ Engineering - Telecom/Technology ∑ Engineering - Mechanical/Electrical ∑ information technology (it) ∑ computer science ∑ computer engineering ∑ software engineering ∑ etl ∑ design ∑ operations,https://wuzzuf.net/jobs/p/yXDbmlFRy20l-Enterprise-Data-Warehouse-Architect-SSC-Cairo-Egypt
Data Engineer,Vistas Global,"Doha, Qatar",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Information Technology (IT) ∑ Computer Science ∑ Computer Engineering ∑ Engineering ∑ Software Engineering ∑ Software Development ∑ SQL,https://wuzzuf.net/jobs/p/kQBWVXTeEwQI-Data-Engineer-Vistas-Global-Doha-Qatar
Data Scientist,Vistas Global,"Doha, Qatar",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Python ∑ Computer Science ∑ Information Technology (IT) ∑ SQL ∑ Data Science ∑ Data Scientist ∑ Machine Learning,https://wuzzuf.net/jobs/p/gacMYmJhiwmr-Data-Scientist-Vistas-Global-Doha-Qatar
Senior Backend/Data Engineer,Skilkit,"Dubai, United Arab Emirates",Experienced ∑ 4 - 10 Yrs of Exp ∑ Human Resources ∑ IT/Software Development ∑ Training/Instructor ∑ backend ∑ AWS ∑ Computer Science ∑ Engineering ∑ Information Technology (IT) ∑ JavaScript ∑ Laravel,https://wuzzuf.net/jobs/p/4gqpTuSLhfWh-Senior-BackendData-Engineer-Skilkit-Dubai-United-Arab-Emirates
ML & Data Analytics Senior Specialist,Vodafone - Egypt,"Cairo, Egypt",Not specified ∑ IT/Software Development ∑ Analyst/Research ∑ Engineering - Telecom/Technology ∑ Computer Science ∑ Information Technology (IT) ∑ Python ∑ Software ∑ Software Engineering ∑ Computer Engineering ∑ Software Development,https://wuzzuf.net/jobs/p/mWJtYYF0H69H-ML-Data-Analytics-Senior-Specialist-Vodafone---Egypt-Cairo-Egypt
